Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.52139635974389,0.155548767263121,-1.13520713342757,0,0,0
1,-9.54827788440734,0.156230144686149,-1.18242341989462,0,0,0
2,-9.53699462872591,0.15605589508113,-1.19146471183966,0,0,0
3,-9.5142590263621,0.132956116547884,-1.14196328727622,0,0,0
4,-9.50267263851187,0.12167242485317,-1.09885266487864,0,0,0
5,-9.50517775215794,0.146638021251571,-1.09868271924385,0,0,0
6,-9.50757698762618,0.157983973375304,-1.1596724801538,0,0,0
7,-9.51869207499995,0.158372339791386,-1.17302149236354,0,0,0
8,-9.5233538862913,0.128426998430227,-1.15343982768167,0,0,0
9,-9.50770906955292,0.13486174023126,-1.10151164721182,0,0,0
10,-9.51842181157044,0.128859610883674,-1.0918794888028,0,0,0
11,-9.4865292726627,0.126431078740332,-1.04859709482619,0,0,0
12,-9.47088557621001,0.123689394732156,-1.00588812408124,0,0,0
13,-9.47552798258206,0.121299976139266,-0.983492378959198,0,0,0
14,-9.47546061710179,0.119101030217055,-1.03091839655593,0,0,0
15,-9.50933048037159,0.147175395330964,-1.17733780238376,0,0,0
16,-9.50775836376915,0.194508121629554,-1.31064003230715,0,0,0
17,-9.52461947172547,0.218711064508952,-1.46294937575732,0,0,0
18,-9.62878022887734,0.272716425509744,-1.65903612964238,0,0,0
19,-9.65176336865587,0.309265557417946,-1.66563986401968,0,0,0
20,-9.61503925617803,0.263540737686532,-1.51655513147744,0,0,0
21,-9.57169904685394,0.20834537109224,-1.38366444911032,0,0,0
22,-9.5575744960184,0.188191269086497,-1.31324882870705,0,0,0
23,-9.52997217421292,0.153994138412219,-1.29290431753024,0,0,0
24,-9.52567488991592,0.15824972566425,-1.31343321978487,0,0,0
25,-9.60033079019607,0.195915163863652,-1.39659763673954,0,0,0
26,-9.59862067588143,0.229620338837891,-1.40341016477172,0,0,0
27,-9.55586868081635,0.219580601431371,-1.25682113667331,0,0,0
28,-9.54568700758899,0.181836363398972,-1.13630795235254,0,0,0
29,-9.54830748548964,0.165356765966921,-1.1257758803102,0,0,0
30,-9.5461862039316,0.155986433956647,-1.1668100490869,0,0,0
31,-9.55309779021101,0.165094895853639,-1.16907365565847,0,0,0
32,-9.55045818105603,0.17929674153183,-1.15250132670929,0,0,0
33,-9.54597870769087,0.160822060774895,-1.12577259600973,0,0,0
34,-9.54155970896329,0.15604126057323,-1.10789740592376,0,0,0
35,-9.54109642818134,0.126783289265567,-1.08754009050305,0,0,0
36,-9.54530026275251,0.127237081749702,-1.08714802355348,0,0,0
37,-9.55689106399857,0.138513709863083,-1.12348307081043,0,0,0
38,-9.5591246024682,0.138586200461167,-1.15735903148446,0,0,0
39,-9.56429012592232,0.15849131633738,-1.13066475104342,0,0,0
40,-9.57553089531269,0.15642614244935,-1.13065507398906,0,0,0
41,-9.57109907724066,0.160841007525884,-1.12162874506663,0,0,0
42,-9.55055634140304,0.144746092974165,-1.10129879442709,0,0,0
43,-9.55233459834223,0.133896984776747,-1.08056984675151,0,0,0
44,-9.54338563347548,0.129073773574834,-1.09205799593036,0,0,0
45,-9.54783946874973,0.12693167383192,-1.12367165771278,0,0,0
46,-9.55501164498673,0.142601621875985,-1.13065398661262,0,0,0
47,-9.54825543229468,0.142474678096221,-1.11484887654258,0,0,0
48,-9.54569574812631,0.142813586687345,-1.10994415183977,0,0,0
49,-9.54544472566978,0.156894964253777,-1.12518402819301,0,0,0
50,-9.5460472685189,0.156152889357565,-1.14403043402786,0,0,0
51,-9.5462946895156,0.162735675351212,-1.16907566577328,0,0,0
52,-9.54614405339984,0.162921221918115,-1.1643640235978,0,0,0
53,-9.5458703044846,0.156381287097459,-1.17997172532327,0,0,0
54,-9.54603565051469,0.158480469999139,-1.21856320326689,0,0,0
55,-9.54582057428209,0.156462286115376,-1.25676054754093,0,0,0
56,-9.54593645763661,0.165508213830138,-1.3041984281203,0,0,0
57,-9.55557341951107,0.185550903514747,-1.33848097033716,0,0,0
58,-9.54644627573921,0.18782420505247,-1.32022640594647,0,0,0
59,-9.54571872661865,0.170360654404829,-1.27897023030595,0,0,0
60,-9.54584552282493,0.158730319435222,-1.27483087830632,0,0,0
61,-9.54648179292536,0.160241920179078,-1.29819727129897,0,0,0
62,-9.54610982142937,0.185944174372452,-1.30854199340438,0,0,0
63,-9.54801084950831,0.172646406485266,-1.27897114203635,0,0,0
64,-9.53272567051808,0.174057475934182,-1.27053400469957,0,0,0
65,-9.52366016315201,0.180847744688675,-1.27035222365523,0,0,0
66,-9.54611084711173,0.174458848582644,-1.26129651785535,0,0,0
67,-9.54566408784455,0.156657333072715,-1.26108280334851,0,0,0
68,-9.54615153313325,0.167526354349623,-1.26600112784154,0,0,0
69,-9.53915677552333,0.163110854706128,-1.26806452186381,0,0,0
70,-9.53470258135379,0.156078697455825,-1.24792859444158,0,0,0
71,-9.53669931284388,0.158725943377146,-1.22947212208492,0,0,0
72,-9.54871448883799,0.176356677792448,-1.25491140100774,0,0,0
73,-9.54166184806917,0.18807676677442,-1.26789441966352,0,0,0
74,-9.52120818873364,0.167279023402169,-1.23420353263094,0,0,0
75,-9.53499906934449,0.1832399985933,-1.23195288067999,0,0,0
76,-9.54835678974766,0.19286116886416,-1.25414909926725,0,0,0
77,-9.54592391697649,0.181569901774152,-1.24510473475228,0,0,0
78,-9.54621158519332,0.169737201004038,-1.22986755053379,0,0,0
79,-9.54600631419645,0.156219594493085,-1.20726834634031,0,0,0
80,-9.54577980463023,0.161086216899388,-1.19559126102096,0,0,0
81,-9.54615180139615,0.174392143509066,-1.19805866426434,0,0,0
82,-9.53040010330913,0.176383828075795,-1.19807126310897,0,0,0
83,-9.54403450302342,0.192540023971706,-1.20014292377125,0,0,0
84,-9.52350830879144,0.185593133779473,-1.14349201292901,0,0,0
85,-9.52369024965448,0.164697805616823,-1.06500714292127,0,0,0
86,-9.52300097383998,0.151789100018732,-1.07796019691278,0,0,0
87,-9.50765565724565,0.150989613767259,-1.10565607730081,0,0,0
88,-9.51163469916216,0.158616460669993,-1.14779319892785,0,0,0
89,-9.53075415616882,0.180543860922742,-1.2391183405657,0,0,0
90,-9.54446972240867,0.214977489984254,-1.33135402338975,0,0,0
91,-9.54957479199085,0.223496529231074,-1.35227149893267,0,0,0
92,-9.54462687064194,0.194122446357721,-1.29126404872758,0,0,0
93,-9.52799693805656,0.176527923454743,-1.18884407838151,0,0,0
94,-9.51425795007113,0.142132613529693,-1.13274416669702,0,0,0
95,-9.4847969074227,0.121164438163408,-1.07647394605861,0,0,0
96,-9.47026846142415,0.0877556542096424,-1.05327850850583,0,0,0
97,-9.47665462028337,0.0837478288752824,-1.05288029927766,0,0,0
98,-9.46348834285832,0.0761843493863162,-1.02862212691377,0,0,0
99,-9.48627480877431,0.0923352293594135,-1.06701853727241,0,0,0
100,-9.49509340227923,0.0904446872344088,-1.08714220142363,0,0,0
101,-9.52516300861656,0.119836282997748,-1.14174712384763,0,0,0
