Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.47704010413496,-0.903793657621237,-1.06871751577009,0,0,0
1,-9.49562568768284,-0.9174029165627,-1.06009513701281,0,0,0
2,-9.49501035732813,-0.923871644475973,-1.06431321254625,0,0,0
3,-9.4933655682741,-0.91743252883705,-1.06687266120803,0,0,0
4,-9.4766086316159,-0.914903201632396,-1.06404220311751,0,0,0
5,-9.49397943068181,-0.910961543089018,-1.0649132743382,0,0,0
6,-9.48879107857811,-0.922018678805333,-1.05106002624358,0,0,0
7,-9.48635737354813,-0.917424236117913,-1.0509201502297,0,0,0
8,-9.48030140424962,-0.920178686133578,-1.06039517080167,0,0,0
9,-9.48331165752214,-0.904669717061263,-1.06747857754741,0,0,0
10,-9.48052055218246,-0.890810369010508,-1.0693146708506,0,0,0
11,-9.48644175343056,-0.894758971881962,-1.09823013989517,0,0,0
12,-9.48859196578596,-0.901473353641623,-1.09144551358839,0,0,0
13,-9.49407762786336,-0.904198619107483,-1.08298992415788,0,0,0
14,-9.49286790455894,-0.902535850097968,-1.07680209846432,0,0,0
15,-9.48011612289193,-0.915535606187157,-1.07154727381153,0,0,0
16,-9.47677571213544,-0.903636895470016,-1.08889953362851,0,0,0
17,-9.47627126100572,-0.90460894947768,-1.10121727494428,0,0,0
18,-9.47557182986082,-0.899676086677215,-1.13014657796719,0,0,0
19,-9.47778946466162,-0.901884920573099,-1.13240143308062,0,0,0
20,-9.48500342063137,-0.906569788149217,-1.10558031595065,0,0,0
21,-9.48461003718554,-0.915433496025965,-1.09864862941717,0,0,0
22,-9.4869243460174,-0.913184508643081,-1.06476919273847,0,0,0
23,-9.48448917795902,-0.908587663143209,-1.06688799160615,0,0,0
24,-9.49054285389625,-0.921709078640866,-1.05302508862503,0,0,0
25,-9.48414332189,-0.931100781334699,-1.03524264819273,0,0,0
26,-9.49105558632075,-0.921996214113714,-1.03750643890948,0,0,0
27,-9.50194162276713,-0.914797963507615,-1.03721411342943,0,0,0
28,-9.48604098917136,-0.905918452778278,-1.04612248577478,0,0,0
29,-9.48900941677649,-0.908528438594509,-1.05333294321572,0,0,0
30,-9.49372086690826,-0.910814350860691,-1.07606063014665,0,0,0
31,-9.49347626749186,-0.894810260095121,-1.07352633877016,0,0,0
32,-9.49622931612977,-0.91091525301437,-1.0739465809077,0,0,0
33,-9.49128276523379,-0.906212729598387,-1.08269679397107,0,0,0
34,-9.48808655843678,-0.90119792983277,-1.09567063794398,0,0,0
35,-9.47951487631732,-0.903839800419778,-1.11855318845627,0,0,0
36,-9.48155746557186,-0.901422096397422,-1.1161492750946,0,0,0
37,-9.49856715929448,-0.904089361234179,-1.11686738064833,0,0,0
38,-9.49820454174658,-0.910695562990975,-1.11897281442337,0,0,0
39,-9.50790586123099,-0.899567449207989,-1.13056458515761,0,0,0
