Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.71241169184454,-0.913585846501657,-1.79004603665685,0,0,0
1,-9.70546313248315,-0.921257953497484,-1.79822795691653,0,0,0
2,-9.70772878750839,-0.930294380166799,-1.79229272388686,0,0,0
3,-9.70287867341801,-0.929560460898875,-1.77963420339232,0,0,0
4,-9.70277819709781,-0.93636429217489,-1.78559403856134,0,0,0
5,-9.70281118229663,-0.940167496046942,-1.80047838114393,0,0,0
6,-9.70242608836413,-0.94162646536669,-1.79601225145354,0,0,0
7,-9.70948281483745,-0.945325008559151,-1.79305519652674,0,0,0
8,-9.7107173097352,-0.937806098758912,-1.79230753193314,0,0,0
9,-9.70963342588676,-0.927946536323271,-1.80047173807217,0,0,0
10,-9.71394760771116,-0.922658193136419,-1.8034521834527,0,0,0
11,-9.71813908017546,-0.914207114619616,-1.79897946587121,0,0,0
12,-9.7197529239734,-0.912680617106042,-1.79823691611384,0,0,0
13,-9.72162376254549,-0.90892297982095,-1.80270180153648,0,0,0
14,-9.72227168784907,-0.912692633434795,-1.81535377662052,0,0,0
15,-9.72976013237561,-0.916352776363298,-1.82876035876826,0,0,0
16,-9.72261266850523,-0.921713449600153,-1.82205801751646,0,0,0
17,-9.73026586737726,-0.922351561852894,-1.81909589667516,0,0,0
18,-9.73560560096239,-0.926058987178823,-1.82580516360066,0,0,0
19,-9.73216218099637,-0.924539390607904,-1.8235615121085,0,0,0
20,-9.72876782134044,-0.934490316297326,-1.82208664146373,0,0,0
21,-9.71493636211202,-0.943003606057875,-1.8101723126208,0,0,0
22,-9.70212721696864,-0.940957730439822,-1.81163814580107,0,0,0
23,-9.69530829327036,-0.934247943366853,-1.79971521358808,0,0,0
24,-9.68637905583746,-0.9215436980922,-1.78852617149514,0,0,0
25,-9.68814259237118,-0.915500038227841,-1.79149867515056,0,0,0
26,-9.69865674277778,-0.925171648517954,-1.81310164345699,0,0,0
27,-9.70663645835756,-0.937113410834333,-1.83098146436764,0,0,0
28,-9.70608345919705,-0.940926533111452,-1.82131709706738,0,0,0
29,-9.69357668802416,-0.938022683208961,-1.79376417024577,0,0,0
30,-9.69594813762247,-0.934952609037948,-1.77591025376855,0,0,0
31,-9.70677044699887,-0.933302494846112,-1.78708588913654,0,0,0
32,-9.70990489910725,-0.926491152566294,-1.82279081140729,0,0,0
33,-9.71070000269673,-0.908291352787313,-1.79375350223397,0,0,0
34,-9.72356953774452,-0.902737196240398,-1.75284949822836,0,0,0
35,-9.7273766069109,-0.909518119482005,-1.78262228563771,0,0,0
36,-9.72783041709215,-0.934502130171306,-1.84440113685315,0,0,0
37,-9.73086588897498,-0.944298731413822,-1.85260299184159,0,0,0
38,-9.7251165810374,-0.939117553882379,-1.82804041112174,0,0,0
39,-9.72022345658362,-0.938350266299881,-1.78785590867036,0,0,0
40,-9.72126421553893,-0.932301615702893,-1.76925368458325,0,0,0
41,-9.71425281134568,-0.924096080009657,-1.79973030815865,0,0,0
42,-9.70474345833687,-0.912981898487492,-1.82871661968309,0,0,0
43,-9.69946169097232,-0.912332578696077,-1.84507416242574,0,0,0
44,-9.69596699531616,-0.92745831104138,-1.84582912635189,0,0,0
45,-9.69116467176827,-0.942636582173917,-1.84658436332189,0,0,0
46,-9.69754274026139,-0.941822681671465,-1.84882829137528,0,0,0
47,-9.71114617347623,-0.937046885986494,-1.84437868842124,0,0,0
48,-9.72494810785266,-0.923203533281272,-1.82801583437696,0,0,0
49,-9.73118715209029,-0.917831093988057,-1.83025158387601,0,0,0
50,-9.73337991521171,-0.917772281489536,-1.81983906084744,0,0,0
51,-9.72757028523205,-0.914119787798187,-1.81759575180372,0,0,0
52,-9.7195243686634,-0.915698796632703,-1.81906839630933,0,0,0
53,-9.71014243822848,-0.910618041731636,-1.81086837480166,0,0,0
54,-9.70226619276922,-0.901623318025991,-1.81158420666653,0,0,0
