Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.05833173313609,-0.265511887973315,-4.17101929600159,0,0,0
1,-9.06115160355682,-0.265417813755857,-4.16506698580031,0,0,0
2,-9.05888404826629,-0.264699385644692,-4.16506250741017,0,0,0
3,-9.06166151482132,-0.266866535964184,-4.15539328833831,0,0,0
4,-9.05507507066752,-0.268535032062862,-4.15316001506499,0,0,0
5,-9.05579143261649,-0.270783045351986,-4.14870033282747,0,0,0
6,-9.05881959660689,-0.266943362644962,-4.14721075709047,0,0,0
7,-9.05306633333359,-0.26028667414766,-4.15091819955683,0,0,0
8,-9.0576114318044,-0.257184923306345,-4.15538342303247,0,0,0
9,-9.05732483045932,-0.262441068387639,-4.16133583784202,0,0,0
10,-9.05453631136683,-0.261030151093076,-4.17174993159035,0,0,0
11,-9.05673010043649,-0.267044305940389,-4.17920024001379,0,0,0
12,-9.05424321915175,-0.27082767892835,-4.17547788824469,0,0,0
13,-9.05765428195264,-0.261000006658797,-4.17696409817381,0,0,0
14,-9.05949374679485,-0.265419017414773,-4.16654879363114,0,0,0
15,-9.05568359796152,-0.270783329219056,-4.16952690679005,0,0,0
16,-9.05643284730736,-0.279855435816478,-4.16656708485937,0,0,0
17,-9.05611209100691,-0.282068457705161,-4.16433064315028,0,0,0
18,-9.05802576546772,-0.27908090593393,-4.16061887531233,0,0,0
19,-9.05028671368653,-0.283725292244732,-4.16284250854894,0,0,0
20,-9.04909294859551,-0.276994757547015,-4.16655708737591,0,0,0
21,-9.04903799778971,-0.271683047271575,-4.16654694738845,0,0,0
22,-9.05580825700318,-0.271560953821097,-4.16729971109968,0,0,0
23,-9.05453667741792,-0.269358354821121,-4.16804406203864,0,0,0
24,-9.05224598650777,-0.266369836080215,-4.17473042361091,0,0,0
25,-9.04899767680347,-0.261836229742809,-4.17396881267256,0,0,0
26,-9.05090771195049,-0.264157472386176,-4.17770475131119,0,0,0
27,-9.05337042459571,-0.252792247854565,-4.17769450107328,0,0,0
28,-9.05474714174794,-0.248193821259539,-4.17396609805328,0,0,0
29,-9.05252256616525,-0.244449914397111,-4.17023824437205,0,0,0
30,-9.05614315774557,-0.260266597213847,-4.17472898895784,0,0,0
31,-9.05577398774327,-0.273828492918666,-4.16879034938721,0,0,0
32,-9.05737154824658,-0.273057619295315,-4.16581789526907,0,0,0
33,-9.05600794932472,-0.263262254097746,-4.16431567896591,0,0,0
34,-9.058121338632,-0.260163047919076,-4.16133426208668,0,0,0
35,-9.05970030754355,-0.260907258371413,-4.16208333854616,0,0,0
36,-9.05909503570584,-0.269283812897685,-4.16730723848491,0,0,0
37,-9.0581742355956,-0.279112272837372,-4.16583014113219,0,0,0
38,-9.05351027904678,-0.281440914882351,-4.16731181720178,0,0,0
39,-9.05418143953367,-0.282931152947389,-4.17103268898866,0,0,0
40,-9.05493274574467,-0.279895394095144,-4.17921166421808,0,0,0
41,-9.05110481211194,-0.276917827282001,-4.17473657096292,0,0,0
42,-9.05341233723008,-0.279154723919366,-4.17102505037873,0,0,0
43,-9.06100978445354,-0.27826587691113,-4.16210872955751,0,0,0
44,-9.06043911517608,-0.269971256381904,-4.1524280617318,0,0,0
45,-9.06117066703388,-0.268449545213962,-4.1635846389368,0,0,0
46,-9.05791933777918,-0.266930495257063,-4.14720589092624,0,0,0
47,-9.05828597194465,-0.262459318355329,-4.1553910528431,0,0,0
48,-9.05160573001042,-0.257298441078841,-4.15760759580433,0,0,0
49,-9.05540650290454,-0.255708476110326,-4.14273290592654,0,0,0
50,-9.0532520909465,-0.251977231084826,-4.13900688752361,0,0,0
51,-9.05365430546735,-0.249644190529968,-4.15610485076148,0,0,0
52,-9.05553647831001,-0.253473541676746,-4.15761076730099,0,0,0
53,-9.05092595711491,-0.252784746439264,-4.16206452012544,0,0,0
54,-9.05430559162649,-0.257959647849475,-4.17248278540632,0,0,0
55,-9.06130597875553,-0.261672314451029,-4.17994299671551,0,0,0
56,-9.05367020729122,-0.264060765367276,-4.17993389894684,0,0,0
57,-9.05597124070241,-0.270838973897683,-4.17399793770071,0,0,0
58,-9.06185323515533,-0.277511786851198,-4.16285477978327,0,0,0
59,-9.0586586970975,-0.278289273581139,-4.16135938751238,0,0,0
60,-9.06111363942235,-0.276775167785523,-4.1680602436058,0,0,0
61,-9.0560877992601,-0.27979743334713,-4.17027752842898,0,0,0
62,-9.05633932636817,-0.286665306403404,-4.17699050619091,0,0,0
63,-9.05655285032365,-0.282158845885218,-4.17698868756491,0,0,0
64,-9.05246282847427,-0.277616238155019,-4.1687846614358,0,0,0
65,-9.05439914790716,-0.272352228113835,-4.15614287269123,0,0,0
66,-9.05413649234323,-0.270021798409096,-4.14422973282325,0,0,0
67,-9.05682518250086,-0.265504583236236,-4.13456575163126,0,0,0
68,-9.0565629752402,-0.269250315708868,-4.14051635626304,0,0,0
69,-9.05635419918005,-0.26997877230733,-4.14943901347489,0,0,0
