Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.70264953981488,-0.0733559746830461,-2.09772764401354,0,0,0
1,-9.70195232897556,-0.0688292574651999,-2.09102541294818,0,0,0
2,-9.7041766131407,-0.0687464074333523,-2.09028402150975,0,0,0
3,-9.70214734519594,-0.0666956214039187,-2.08804986833672,0,0,0
4,-9.70351924498538,-0.0650181401958562,-2.0820958193866,0,0,0
5,-9.70286882804866,-0.0628246589200865,-2.09399602723713,0,0,0
6,-9.70607384843407,-0.0560254497316281,-2.09473743887408,0,0,0
7,-9.70613262769131,-0.0591354096841668,-2.09399918100648,0,0,0
8,-9.70130238096081,-0.0589840922400629,-2.09473099180157,0,0,0
9,-9.70209344267289,-0.0605281759169607,-2.0954789698876,0,0,0
10,-9.70148566391631,-0.0683192820702598,-2.09697990800874,0,0,0
11,-9.70299902667358,-0.06216709200841,-2.09994869774739,0,0,0
12,-9.70581935875945,-0.0657618469857828,-2.10293081221017,0,0,0
13,-9.70340214918268,-0.0710413330538175,-2.10442058295469,0,0,0
14,-9.71045392371485,-0.0787590990679202,-2.1096541497177,0,0,0
15,-9.71026665602292,-0.0770730623328707,-2.11336800365347,0,0,0
16,-9.70436731656226,-0.0734939349453798,-2.12005146847061,0,0,0
17,-9.70179703783671,-0.0570982606223041,-2.10961524716638,0,0,0
18,-9.70231795932975,-0.04923634840026,-2.0872827483099,0,0,0
19,-9.70404852330727,-0.0463260614848364,-2.08654049427603,0,0,0
20,-9.7054576948863,-0.0515648391141635,-2.1051470049276,0,0,0
21,-9.69835113214098,-0.0682890000974801,-2.10590052821445,0,0,0
22,-9.7036010010482,-0.0727365737606654,-2.10814619614121,0,0,0
23,-9.70671717857745,-0.0712205267257187,-2.10666221263427,0,0,0
24,-9.70773391649759,-0.0630030792568043,-2.11558267808496,0,0,0
25,-9.7017394140629,-0.0555185119987447,-2.12672220059989,0,0,0
26,-9.70365732125099,-0.0704866055317681,-2.12079054870093,0,0,0
27,-9.70524014248295,-0.0628620077339722,-2.11780691114016,0,0,0
28,-9.70208135423333,-0.0697000239057611,-2.11185887054301,0,0,0
29,-9.70188947379352,-0.0680101546940348,-2.11259693062715,0,0,0
