Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.62714365981905,0.17838773047239,-2.34418057136474,0,0,0
1,-9.62926504394807,0.170149488152295,-2.37319304775832,0,0,0
2,-9.62269323895233,0.126097912640941,-2.42162925909426,0,0,0
3,-9.62017236671917,0.105616032396247,-2.47819345890558,0,0,0
4,-9.62465756572045,0.10039881108758,-2.48490288679179,0,0,0
5,-9.62769803368195,0.0958488218660403,-2.44253928569417,0,0,0
6,-9.62618858673701,0.1118776355755,-2.37478156069432,0,0,0
7,-9.62712807403896,0.136217857733993,-2.32933694321734,0,0,0
8,-9.62090207912254,0.142375380070094,-2.35231713166863,0,0,0
9,-9.61683791645258,0.153349247876829,-2.3739382927327,0,0,0
10,-9.6238120739961,0.160232788491489,-2.38956437779266,0,0,0
11,-9.57734951066429,0.148857835557955,-2.38877756087354,0,0,0
12,-9.60831192542318,0.176413651650815,-2.42303187817514,0,0,0
13,-9.62304934547252,0.165564875293317,-2.28839136581223,0,0,0
14,-9.63093604923551,0.226008396757578,-2.42370050032747,0,0,0
15,-8.26608658767459,-0.06503755903779,-0.879646541615424,0,0,0
16,-10.544639657191,0.224750505143932,-3.26953221953263,0,0,0
17,-10.1202190698883,0.286616886476584,-3.57092547423721,0,0,0
18,-9.59716332781423,0.0907532578451922,-2.14779813523097,0,0,0
19,-9.69009090069424,0.157997442211535,-2.26683284076191,0,0,0
20,-9.58592276713232,0.108172613335604,-2.50488651619004,0,0,0
21,-9.6098908906306,0.125033029685229,-2.50493642651701,0,0,0
22,-9.6016060983719,0.132378792638347,-2.3537541525981,0,0,0
23,-9.65324257754678,0.147112775256783,-2.35095658838324,0,0,0
24,-9.60197230248707,0.132814952360173,-2.31218982232417,0,0,0
25,-9.70995024154811,0.169046733107199,-2.38674654757011,0,0,0
26,-9.14223203121594,0.0676853900617689,-1.84734792807161,0,0,0
27,-9.44467690148138,0.0848490727659423,-1.83138834993724,0,0,0
28,-10.328797835855,0.31477028800935,-3.00432192150198,0,0,0
29,-9.58809738179793,0.134460964514014,-2.82991092680755,0,0,0
30,-9.66165688844029,0.152547762708824,-2.28625305631622,0,0,0
31,-9.65280016018238,0.155885706769716,-2.1157974655346,0,0,0
32,-9.67020851396072,0.170873792584514,-2.22151726085725,0,0,0
33,-9.62823145161928,0.163480241770678,-2.31292072957729,0,0,0
34,-9.63803024561667,0.17060264582027,-2.32478178298752,0,0,0
35,-9.64901888961072,0.178879799805042,-2.28319155869547,0,0,0
36,-9.66047033247057,0.182073430641089,-2.24007110911036,0,0,0
37,-9.66595605173421,0.187372106897425,-2.24678542500132,0,0,0
38,-9.64359144904602,0.173528352799651,-2.26905397645903,0,0,0
39,-9.66962562654158,0.184493047623273,-2.28396112913786,0,0,0
40,-9.62049243062383,0.165765773938178,-2.24518690234326,0,0,0
41,-9.72335761587134,0.204784589700514,-2.28704597823668,0,0,0
42,-9.32320713586101,0.0636704862651307,-2.06633740182362,0,0,0
43,-9.74009959666987,0.22185711841453,-2.17394939198445,0,0,0
44,-9.89407229979358,0.263895776291381,-2.62570495063268,0,0,0
45,-9.56680555268203,0.156259972250659,-2.41700655302204,0,0,0
46,-9.70081855011785,0.205618832255227,-2.18351380729455,0,0,0
47,-9.65210881503802,0.192645508280923,-2.17455790671855,0,0,0
48,-9.65759292382311,0.196431580630332,-2.28539880533857,0,0,0
49,-9.63642998172608,0.186039915812999,-2.32783454103253,0,0,0
50,-9.65286572075895,0.185789651352705,-2.28763652174708,0,0,0
51,-9.65668456204225,0.185829110829653,-2.25492370326797,0,0,0
52,-9.66414454844566,0.182247494325712,-2.24897169825408,0,0,0
53,-9.66345210010605,0.182175246311668,-2.24749912544426,0,0,0
54,-9.65955953951517,0.179900733547257,-2.25640719024296,0,0,0
55,-9.65883899845931,0.181386038682106,-2.26607596794564,0,0,0
56,-9.65809222416673,0.173707066203098,-2.26314122002532,0,0,0
57,-9.65334378577993,0.177630289511997,-2.28240673726864,0,0,0
