Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.9430695664165,0.481760775090947,-3.30829924216906,0,0,0
1,-8.9391640686003,0.492525463739069,-3.27925327523885,0,0,0
2,-8.95014166988156,0.486128047693302,-3.25876670190959,0,0,0
3,-8.93870881750973,0.48837405158868,-3.24733717476743,0,0,0
4,-8.93633928632879,0.481593356093563,-3.25410619223692,0,0,0
5,-8.93180433288014,0.467835987233746,-3.26327585169224,0,0,0
6,-8.93445013720283,0.467509371791346,-3.28163640716577,0,0,0
7,-8.94574200817681,0.469976802467737,-3.31324673454883,0,0,0
8,-8.95040511338622,0.467627820064571,-3.33145544104926,0,0,0
9,-8.94223131724661,0.46885606399399,-3.33042284247828,0,0,0
10,-8.94736007730416,0.456917697872897,-3.33551706645234,0,0,0
11,-8.94726011561211,0.463874240870926,-3.34892540228814,0,0,0
12,-8.94579506064456,0.460786683967208,-3.31564359731102,0,0,0
13,-8.94332380944498,0.472379233073978,-3.31084421489523,0,0,0
14,-8.94733288266904,0.491204087893146,-3.29446024709979,0,0,0
15,-8.94065110242099,0.495577935043092,-3.2786618223021,0,0,0
16,-8.94569890586087,0.490564781801933,-3.26780728505369,0,0,0
17,-8.94835340472251,0.487913775065743,-3.2161602633606,0,0,0
18,-8.94961608128601,0.47978096425285,-3.27878745230519,0,0,0
19,-8.93231829019458,0.476512059663435,-3.3177790858962,0,0,0
20,-8.92094257710814,0.480974988062297,-3.27473662934049,0,0,0
21,-8.95051501889581,0.472068909741137,-3.27500432110561,0,0,0
22,-8.9680642300285,0.468270889559698,-3.29953224684212,0,0,0
23,-8.96112843610073,0.470611731764913,-3.30842380562699,0,0,0
24,-8.95025344350696,0.481462267476552,-3.28375056275089,0,0,0
25,-8.94161893213772,0.49237326665094,-3.28165813945994,0,0,0
26,-8.94802591711327,0.495104619931423,-3.27006880091576,0,0,0
27,-8.9530796173258,0.490082021059211,-3.25018127065408,0,0,0
28,-8.95476487008057,0.492947842761685,-3.25425444587331,0,0,0
29,-8.94360391351224,0.488093515507161,-3.27472914477463,0,0,0
30,-8.93857540062886,0.481661072630511,-3.28346167386564,0,0,0
31,-8.93858445573166,0.470232321048737,-3.29714727015512,0,0,0
32,-8.93116860803938,0.468462039012803,-3.312512507966,0,0,0
33,-8.92656867033033,0.475328565875743,-3.3101162090352,0,0,0
34,-8.94343236311615,0.479132641615728,-3.31310956753727,0,0,0
35,-8.94535259047547,0.484062181212455,-3.32184951354794,0,0,0
36,-8.94487538564958,0.479946376570532,-3.32380672510281,0,0,0
37,-8.94974990136141,0.477389353692287,-3.32635592269286,0,0,0
38,-8.94757835699581,0.481836657142408,-3.3105545471698,0,0,0
39,-8.94761356692137,0.484089403054147,-3.3128151475621,0,0,0
40,-8.94782354372707,0.483883821401053,-3.29941390021988,0,0,0
41,-8.94836404652835,0.478792649136044,-3.28404584270236,0,0,0
42,-8.94805867703911,0.472223389112077,-3.27485769333495,0,0,0
43,-8.94725093975993,0.472993090121773,-3.27878179074774,0,0,0
44,-8.94645113231543,0.473851344269245,-3.26401459957927,0,0,0
45,-8.94980576990857,0.465884398702308,-3.26777824916423,0,0,0
46,-8.95655330540744,0.4774376706448,-3.26763765611159,0,0,0
47,-8.95240294682466,0.474740844939002,-3.27696728839121,0,0,0
48,-8.94787191579914,0.486115118074335,-3.28135044685076,0,0,0
49,-8.94971878664174,0.486543998616853,-3.29008569569099,0,0,0
50,-8.94733288266904,0.491204087893146,-3.29446024709979,0,0,0
51,-8.94841223343155,0.49474814066781,-3.29520552720841,0,0,0
52,-8.94535669188331,0.495469615551268,-3.28783988907779,0,0,0
53,-8.94205068072258,0.49425283367485,-3.29324788709046,0,0,0
54,-8.93193304198467,0.502005004036209,-3.29237222374228,0,0,0
55,-8.92828887607221,0.517100241175729,-3.28380315406021,0,0,0
56,-8.93467265266753,0.50614541289428,-3.27912234887777,0,0,0
57,-8.93911249172717,0.501713442871869,-3.2745982225886,0,0,0
58,-8.9434437765837,0.49052803175187,-3.26780874572023,0,0,0
59,-8.94364058556326,0.490343857672637,-3.27473151881376,0,0,0
60,-8.93706467830127,0.490061345296567,-3.29294984988172,0,0,0
61,-8.94090094700923,0.486203314459273,-3.28798141398547,0,0,0
62,-8.93658603204962,0.485948042125788,-3.29716534917572,0,0,0
63,-8.94777370917447,0.48165490677088,-3.31973558201646,0,0,0
64,-8.94275104017837,0.475212841620631,-3.31943512234252,0,0,0
65,-8.94278332532654,0.477470362460212,-3.32621216911522,0,0,0
66,-8.9457608392433,0.483670076041523,-3.31311285494721,0,0,0
67,-8.94537189098579,0.472616744648181,-3.31972754648069,0,0,0
68,-8.95040189018601,0.479046863903089,-3.30873684407564,0,0,0
69,-8.94756215929941,0.479552944699002,-3.27893700448402,0,0,0
70,-8.94780588374601,0.481602501822469,-3.27005455661229,0,0,0
71,-8.9505059460824,0.483497503530462,-3.26131870707214,0,0,0
72,-8.9529666772647,0.483335823778375,-3.25469061804348,0,0,0
73,-8.94937937762397,0.489134128233442,-3.24914390597468,0,0,0
74,-8.95246721865343,0.490670267865902,-3.26328644619913,0,0,0
75,-8.95108147919991,0.494383160227887,-3.27743438668213,0,0,0
76,-8.93920805306073,0.494763895677936,-3.2679644966547,0,0,0
77,-8.94066572718549,0.495554114678361,-3.25607960094329,0,0,0
78,-8.95099175096075,0.50132307572256,-3.27503518331661,0,0,0
