Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.56304088367958,-0.394010333416849,-0.735093318545048,0,0,0
1,-9.54091155373487,-0.381080261073755,-0.728443758604341,0,0,0
2,-9.56147829010931,-0.376424911415998,-0.742084033903756,0,0,0
3,-9.54280861308472,-0.364727739751386,-0.741718401615551,0,0,0
4,-9.57667593787786,-0.348215355838096,-0.773235576777163,0,0,0
5,-9.5428186952983,-0.376143689938682,-0.7553551940771,0,0,0
6,-9.55212035874983,-0.396799862483565,-0.751102792153719,0,0,0
7,-9.54680510065777,-0.407532052665737,-0.773387539072167,0,0,0
8,-9.54292809376902,-0.405903196079056,-0.787236204348412,0,0,0
9,-9.54470474062146,-0.409987605393083,-0.789293885681957,0,0,0
10,-9.54225440408152,-0.409849440425577,-0.77790520829434,0,0,0
11,-9.54714184238038,-0.412412503319689,-0.764543188344744,0,0,0
12,-9.54525687669729,-0.403677393064864,-0.730772963709919,0,0,0
13,-9.54786089516339,-0.408540112867833,-0.703858486121898,0,0,0
14,-9.56063573896222,-0.405345022876199,-0.683135995073533,0,0,0
15,-9.54933589082568,-0.407801260117326,-0.660555308777919,0,0,0
16,-9.55826452282583,-0.400719089394925,-0.662717921636099,0,0,0
17,-9.55697417429065,-0.392525642038151,-0.647307782915629,0,0,0
18,-9.5552429654129,-0.38620718148639,-0.631700769838945,0,0,0
19,-9.56636124735704,-0.383597396267248,-0.622564362773114,0,0,0
20,-9.56809986150029,-0.378528736934196,-0.597431888653499,0,0,0
21,-9.56634081519574,-0.374473237803904,-0.568271030611031,0,0,0
22,-9.56451013441705,-0.361210255804667,-0.563866718550871,0,0,0
23,-9.56199512802214,-0.376982336562226,-0.568368714757246,0,0,0
24,-9.56392436977416,-0.358374231652801,-0.588421904610408,0,0,0
25,-9.57270528070024,-0.335177078951315,-0.590406883583136,0,0,0
26,-9.57745358606131,-0.344439106424081,-0.622208647845224,0,0,0
27,-9.56633829251094,-0.347053890743556,-0.62682789238729,0,0,0
28,-9.57299214216338,-0.353684704070964,-0.631333520834242,0,0,0
29,-9.57196268035898,-0.34131864876313,-0.630762230084782,0,0,0
30,-9.57298056046778,-0.342266375717848,-0.619955380093141,0,0,0
31,-9.57956842661591,-0.353406388599368,-0.613163450449809,0,0,0
32,-9.58179027410011,-0.355623023660366,-0.608642493507481,0,0,0
33,-9.57078053063652,-0.351484756682414,-0.620044534111708,0,0,0
34,-9.56446052878906,-0.34973018576199,-0.61121138100484,0,0,0
35,-9.57368201803553,-0.349765510968285,-0.61581985185815,0,0,0
36,-9.56835657035477,-0.349081007593207,-0.62446830906441,0,0,0
37,-9.57491968864407,-0.348781227031987,-0.626625300012578,0,0,0
38,-9.57097971853767,-0.351667104041083,-0.624658848434422,0,0,0
39,-9.57963293865208,-0.348894839347227,-0.626719566198015,0,0,0
40,-9.56879889704984,-0.347209032227809,-0.622406487726322,0,0,0
41,-9.56614934983534,-0.34688819648067,-0.606403647193562,0,0,0
42,-9.56415288023893,-0.356296028886215,-0.604331392197873,0,0,0
43,-9.5656352040454,-0.353259866635548,-0.6062021922052,0,0,0
44,-9.56403709818076,-0.363032316497631,-0.61335853987894,0,0,0
45,-9.57078784412569,-0.351496668667705,-0.608751714219149,0,0,0
46,-9.56128076317137,-0.355754831845211,-0.619851269621984,0,0,0
47,-9.56189438314592,-0.356328021347462,-0.608849985302386,0,0,0
48,-9.56173443864846,-0.379008206157768,-0.602147730722686,0,0,0
49,-9.57459000870954,-0.357619666168373,-0.597157373167453,0,0,0
50,-9.5736393344784,-0.365711699818896,-0.597831846218232,0,0,0
51,-9.56796957483335,-0.373842115793371,-0.599598033838261,0,0,0
52,-9.5727531870228,-0.369453608957608,-0.604214147561194,0,0,0
53,-9.56376170437534,-0.367342491640556,-0.613256619499231,0,0,0
54,-9.56127323905915,-0.369450367631294,-0.604124284909825,0,0,0
55,-9.57045951144761,-0.371736600364407,-0.606471800272327,0,0,0
56,-9.57903357919809,-0.373452263588003,-0.617562044322961,0,0,0
57,-9.58160412816958,-0.366861396078336,-0.613147756119363,0,0,0
58,-9.5683679481994,-0.374206595457425,-0.608826624785064,0,0,0
59,-9.57860877556796,-0.375353109853963,-0.592521201480147,0,0,0
60,-9.57952428195638,-0.36935048450376,-0.597434072771692,0,0,0
61,-9.57711628649572,-0.378372178485932,-0.606460300762256,0,0,0
62,-9.576946419342,-0.37592942018492,-0.613141189097846,0,0,0
63,-9.57456921924888,-0.382693000520975,-0.631204028407478,0,0,0
64,-9.57000108652897,-0.373582615341349,-0.633377806602877,0,0,0
