Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.62802901255081,-0.581388564971917,-0.387193666982094,0,0,0
1,-9.62104493175048,-0.595002210621917,-0.384925541857089,0,0,0
2,-9.62337198368151,-0.590462740684773,-0.387187092951932,0,0,0
3,-9.62076934889483,-0.599415505725781,-0.382517017503397,0,0,0
4,-9.62025046476659,-0.605984876030997,-0.384477129308704,0,0,0
5,-9.62025046476659,-0.605984876030997,-0.384477129308704,0,0,0
6,-9.62874930448443,-0.612402606330081,-0.390947898106623,0,0,0
7,-9.62060490109492,-0.622004232892456,-0.384897055585788,0,0,0
8,-9.62487633200337,-0.624093977320175,-0.382487983572052,0,0,0
9,-9.62285568957613,-0.621960335838968,-0.39167038712827,0,0,0
10,-9.6249775651843,-0.617329146723464,-0.396044677069629,0,0,0
11,-9.62465945562407,-0.623983233141145,-0.402666810126668,0,0,0
12,-9.62419938488043,-0.614721566151598,-0.395464952756823,0,0,0
13,-9.62512863028368,-0.608335575458065,-0.38927938659149,0,0,0
14,-9.62274016130658,-0.603777800116889,-0.393656596187979,0,0,0
15,-9.62434314030912,-0.605715910868443,-0.399990955597157,0,0,0
16,-9.6202358397712,-0.605961055290196,-0.407059707190496,0,0,0
17,-9.62067553506694,-0.603882515377174,-0.414127937524558,0,0,0
18,-9.62115336313537,-0.599556239503273,-0.418940301729497,0,0,0
19,-9.62102884421073,-0.594976007734034,-0.409766446734464,0,0,0
20,-9.62091298653238,-0.601716984978802,-0.418792381485685,0,0,0
21,-9.62065956368007,-0.592549307241355,-0.407219485587662,0,0,0
22,-9.62105831657329,-0.581406924488442,-0.389310794390227,0,0,0
23,-9.62079724327944,-0.597151033879526,-0.396068963266192,0,0,0
24,-9.62312283031536,-0.592609160205503,-0.400588774271086,0,0,0
25,-9.62776501548367,-0.597127834226148,-0.398468370389309,0,0,0
26,-9.62532503088151,-0.608413045569494,-0.400716225886164,0,0,0
27,-9.62038983127637,-0.596972161338219,-0.395777913810758,0,0,0
28,-9.62142759650611,-0.583833720809387,-0.391857724517479,0,0,0
29,-9.62213196064643,-0.603514349018194,-0.388703522229292,0,0,0
30,-9.62487080951871,-0.599160771435223,-0.384481329596647,0,0,0
31,-9.61971561382581,-0.601220987229151,-0.379528833332411,0,0,0
32,-9.62889598490677,-0.603401715186238,-0.390957393759375,0,0,0
33,-9.62065641569585,-0.606161279694456,-0.387026419866359,0,0,0
34,-9.62000862635408,-0.608143311612125,-0.386587497216452,0,0,0
35,-9.62271811674055,-0.606051811107723,-0.371071623455406,0,0,0
36,-9.62702620550813,-0.605891298518571,-0.368664942717061,0,0,0
37,-9.62728874376937,-0.59014941925073,-0.359648528796371,0,0,0
38,-9.64090908401189,-0.596761808574451,-0.36655291365408,0,0,0
39,-9.6317402612262,-0.605907190296909,-0.368807520797063,0,0,0
40,-9.63170212915028,-0.608154998448528,-0.371063406803596,0,0,0
41,-9.63416248578048,-0.608210011098376,-0.368949185968295,0,0,0
42,-9.61859909713387,-0.606277893642397,-0.39620645367299,0,0,0
43,-9.63052719152098,-0.604119318060562,-0.38986329003809,0,0,0
44,-9.62943818364871,-0.608177456712551,-0.384614426809078,0,0,0
45,-9.6273104647315,-0.612799183441964,-0.389273178161686,0,0,0
46,-9.62078385969056,-0.610746244037582,-0.391683717104781,0,0,0
47,-9.62077215966165,-0.610727187391849,-0.409749829742872,0,0,0
48,-9.62043954623,-0.606050448608822,-0.407205242314621,0,0,0
49,-9.62019478252071,-0.60820411014855,-0.413832106664744,0,0,0
50,-9.6202431522689,-0.605972965660596,-0.3957684182496,0,0,0
51,-9.62081760390463,-0.608491311353604,-0.396202619120246,0,0,0
52,-9.62351979596497,-0.606387936183082,-0.391978046898768,0,0,0
53,-9.62513448029271,-0.608345103772083,-0.380246338661221,0,0,0
54,-9.62742339793047,-0.606053409473288,-0.384763775798724,0,0,0
55,-9.62213196064643,-0.603514349018194,-0.388703522229292,0,0,0
56,-9.6205289728899,-0.601576270992215,-0.382369131333195,0,0,0
57,-9.62230046128312,-0.605856349046633,-0.386588410428507,0,0,0
58,-9.62649852972251,-0.612446503126482,-0.384174598013153,0,0,0
59,-9.63435743487865,-0.608285098969874,-0.382644270460864,0,0,0
60,-9.6292784482573,-0.605849783693416,-0.373179997601957,0,0,0
61,-9.63164655026024,-0.599067193922797,-0.368669143005004,0,0,0
62,-9.62561670761598,-0.604025930623477,-0.37828384145815,0,0,0
63,-9.62777964051981,-0.597151655033314,-0.375885729591695,0,0,0
64,-9.63643395009363,-0.5945827377138,-0.368816468804779,0,0,0
65,-9.63416854209116,-0.594602813901531,-0.384625748695634,0,0,0
66,-9.62749673672678,-0.601553050722832,-0.384768523533506,0,0,0
67,-9.62497328723673,-0.606015060385946,-0.371070162762164,0,0,0
68,-9.62045709624077,-0.60607903352433,-0.380106123690142,0,0,0
69,-9.6268459987143,-0.603530253777058,-0.388846118641866,0,0,0
70,-9.62420084737725,-0.614723948221253,-0.393206699163032,0,0,0
71,-9.63009645492554,-0.592595510531153,-0.393955129244867,0,0,0
72,-9.62295871625576,-0.590274276673129,-0.395929099346394,0,0,0
73,-9.62582502184283,-0.590505927940876,-0.396364213940748,0,0,0
74,-9.62527271428973,-0.574406177474604,-0.38676570017801,0,0,0
75,-9.62579566532325,-0.592767996025382,-0.385070509211479,0,0,0
76,-9.62087935708929,-0.592664967600096,-0.38252413910557,0,0,0
77,-9.62074606533817,-0.588070365472163,-0.386899894376983,0,0,0
