Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.31182810970841,-0.633505174836037,-3.44728431249451,0,0,0
1,-9.31184843257114,-0.632756286949003,-3.45249096442568,0,0,0
2,-9.31580640100129,-0.636509634058859,-3.45771372519223,0,0,0
3,-9.31500233660347,-0.639546426975754,-3.46069198078438,0,0,0
4,-9.31282492808598,-0.637324673935539,-3.45771145386372,0,0,0
5,-9.31642201784192,-0.636473181337612,-3.45547998955687,0,0,0
6,-9.31578827580642,-0.631951221354127,-3.44431573825488,0,0,0
7,-9.31754417514567,-0.627434088740421,-3.45845054283422,0,0,0
8,-9.312978115815,-0.6244878428041,-3.46810941076398,0,0,0
9,-9.30926243654961,-0.624526357214237,-3.43165351073767,0,0,0
10,-9.31141125127406,-0.625240411445001,-3.44578976387185,0,0,0
11,-9.31750103674209,-0.628209364487801,-3.48374386599705,0,0,0
12,-9.31380799450775,-0.629030257754469,-3.46960711345529,0,0,0
13,-9.30904508483612,-0.634342491298293,-3.43910333801114,0,0,0
14,-9.3156306160044,-0.632681324342615,-3.44133781027118,0,0,0
15,-9.31665970055843,-0.62590801176187,-3.45323683440275,0,0,0
16,-9.3159357821703,-0.624418896698219,-3.46067320280264,0,0,0
17,-9.30982447166475,-0.626786385151011,-3.46364223500756,0,0,0
18,-9.30965647696593,-0.634346954967057,-3.47927260989567,0,0,0
19,-9.31417895586696,-0.64108291845894,-3.48077745040681,0,0,0
20,-9.31647311116321,-0.634983572934887,-3.47258875085309,0,0,0
21,-9.31608732893784,-0.632007829232293,-3.45548103555869,0,0,0
22,-9.30979267476115,-0.631305837305874,-3.44505081639741,0,0,0
23,-9.31138337531914,-0.626748138303718,-3.44355978538737,0,0,0
24,-9.31677323295266,-0.626673008307497,-3.44356963316613,0,0,0
25,-9.31428283135096,-0.625913194185486,-3.43612112402664,0,0,0
26,-9.31450451897594,-0.624424220241989,-3.42719663022066,0,0,0
27,-9.31663301635271,-0.624357664327871,-3.42050165345526,0,0,0
28,-9.31517835257838,-0.625153662048158,-3.42496537778764,0,0,0
29,-9.31654749978851,-0.62586458993745,-3.4264534718244,0,0,0
30,-9.31511374810851,-0.625147409855085,-3.42868353706618,0,0,0
31,-9.31678426872619,-0.625916881918585,-3.44282477247698,0,0,0
32,-9.31525744500178,-0.627465466474083,-3.45398334402895,0,0,0
33,-9.31355309376287,-0.625949039964448,-3.45546235816471,0,0,0
34,-9.31665562980638,-0.62666958552965,-3.45844533173898,0,0,0
