Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.61331381407924,0.325325767184209,0.062678237108193,0,0,0
1,-9.62361506111202,0.328337009688203,0.0497113673150716,0,0,0
2,-9.61077100247801,0.33906730320731,0.0561766323254059,0,0,0
3,-9.61945016489106,0.332582719871667,0.0834385597333461,0,0,0
4,-9.61039074768913,0.330187565406527,0.0834350872925989,0,0,0
5,-9.61705377739981,0.323543961139772,0.0924812272660493,0,0,0
6,-9.62453222640688,0.320991952066727,0.0830182862854325,0,0,0
7,-9.61555043558273,0.323085851720646,0.0897860706966632,0,0,0
8,-9.60660089173007,0.327434983698304,0.0897754832271437,0,0,0
9,-9.6108229338555,0.325404053962061,0.0876671242768832,0,0,0
10,-9.60606173399373,0.325469407975992,0.0900678785384634,0,0,0
11,-9.62027356097317,0.320774820289519,0.0851290145092751,0,0,0
12,-9.62210290085628,0.325585468281273,0.0899330941044878,0,0,0
13,-9.62238935413407,0.327694682068664,0.0875270437558717,0,0,0
14,-9.62056001272215,0.322884036855448,0.0827229552278685,0,0,0
15,-9.61948387516565,0.334835602234727,0.078918867142433,0,0,0
16,-9.62407292574036,0.339398208018975,0.0856930271730668,0,0,0
17,-9.61243619969859,0.332606585034758,0.0903551690914167,0,0,0
18,-9.62177766907285,0.33711809637626,0.0811766169330307,0,0,0
19,-9.61823620239066,0.334228887071273,0.082854654753308,0,0,0
20,-9.61944870213075,0.332585102370485,0.0811798992839077,0,0,0
21,-9.62522235884984,0.331942660731505,0.0894924035791236,0,0,0
22,-9.61576000781983,0.336591038103071,0.0739611735633872,0,0,0
23,-9.61986920781994,0.327820629609268,0.0673426149603298,0,0,0
24,-9.61754462437849,0.323280531414935,0.0741218911933295,0,0,0
25,-9.62413371507731,0.328028266553628,0.0742665573112558,0,0,0
26,-9.62260107472639,0.325310110160619,0.0828670634188968,0,0,0
27,-9.61536511993998,0.327735198364071,0.0786330161059507,0,0,0
28,-9.61741203296684,0.330151800101053,0.0878117778055355,0,0,0
29,-9.61146176953168,0.33413052124745,0.0715569274412892,0,0,0
30,-9.61325888638446,0.336686056633319,0.083139397680296,0,0,0
31,-9.61551166170595,0.336727581004296,0.0786235294293987,0,0,0
32,-9.61755711267856,0.339146608653041,0.0855436285365542,0,0,0
33,-9.6104581682383,0.334693330132647,0.0743957021107726,0,0,0
34,-9.61780399799499,0.339012436028844,0.0786226187970163,0,0,0
35,-9.61969705287645,0.332448578438656,0.0765175544267621,0,0,0
36,-9.61300761809931,0.336827366001912,0.0832844156005575,0,0,0
37,-9.61765891899205,0.330017670885375,0.0808907701173948,0,0,0
38,-9.62450221794374,0.334619375292476,0.0854077391770386,0,0,0
39,-9.60936284289958,0.343069380058486,0.0873566616835176,0,0,0
40,-9.60746165816441,0.333760119839077,0.0848159848124293,0,0,0
41,-9.61744428030017,0.332407054116884,0.0810334184850511,0,0,0
42,-9.6130032298143,0.336834513505004,0.0765084279606603,0,0,0
43,-9.6177973625919,0.323136906162649,0.0762355312890758,0,0,0
44,-9.62377545109777,0.321420416592049,0.0789360193610436,0,0,0
45,-9.61761789526147,0.327776722735048,0.0741171478550535,0,0,0
46,-9.6192992334293,0.323597397906432,0.076672065153177,0,0,0
47,-9.61457320783242,0.325913254590227,0.0768117951198243,0,0,0
48,-9.62105383393207,0.323914269856596,0.07922222963266,0,0,0
49,-9.61782960956337,0.325392138486387,0.0694571594083255,0,0,0
50,-9.60834090285667,0.327775716317718,0.0697390049731606,0,0,0
51,-9.61565595308348,0.329837253659131,0.0830029555005354,0,0,0
52,-9.61773657816412,0.334506714695759,0.0876620207105981,0,0,0
53,-9.61093576570604,0.332143575935744,0.0921773385571221,0,0,0
54,-9.60624637484715,0.336707558038658,0.0923146826821597,0,0,0
55,-9.615514587232,0.33672281599781,0.0831408587170516,0,0,0
56,-9.61505160709395,0.339248788420439,0.0879458434897215,0,0,0
57,-9.61627279230627,0.336291748940183,0.0894818161411621,0,0,0
58,-9.61743842925349,0.332416584121007,0.0719987682985216,0,0,0
59,-9.61926406039441,0.32134689804219,0.0789330972946518,0,0,0
60,-9.62592348003633,0.330595689673787,0.0745556985176889,0,0,0
61,-9.62449782965465,0.334626522802204,0.0786317452455593,0,0,0
62,-9.62188386802437,0.327981977229795,0.0832997464628095,0,0,0
63,-9.61883478022518,0.326125649742017,0.0792183968880889,0,0,0
64,-9.61940475253398,0.330348897499156,0.0698889687287526,0,0,0
65,-9.62918286083445,0.330069722642039,0.071718388026646,0,0,0
66,-9.62337255678255,0.328463984644301,0.0634083534470749,0,0,0
67,-9.61020251547737,0.334841778988779,0.0677647528340723,0,0,0
68,-9.62166191064598,0.330383274275266,0.0721490902113868,0,0,0
69,-9.6191622532609,0.330475881996916,0.0835859488324178,0,0,0
70,-9.61933733198482,0.325843132773036,0.0789283539105788,0,0,0
71,-9.62613812831444,0.328206292960884,0.0744130444192535,0,0,0
72,-9.62374544765357,0.335048039390031,0.0813254691360342,0,0,0
73,-9.61275342490581,0.336973441775361,0.0789121123508088,0,0,0
74,-9.61723695637584,0.334784547966886,0.092469368805867,0,0,0
75,-9.62192635468941,0.330220553738412,0.0923320249687518,0,0,0
76,-9.62219226213258,0.330055452065714,0.114773661848303,0,0,0
77,-9.62197615516279,0.332447217741874,0.112657616207856,0,0,0
78,-9.61510140773196,0.341475463296495,0.10827141584263,0,0,0
79,-9.61301785743101,0.336810688494697,0.0990950534269841,0,0,0
80,-9.62196299030775,0.332468660251151,0.0923296532881646,0,0,0
81,-9.61995271804412,0.33230014340668,0.0831485241288389,0,0,0
82,-9.61955051040305,0.323456152387698,0.0765270411491111,0,0,0
83,-9.61242888590382,0.332618497517789,0.0790618773301954,0,0,0
84,-9.60541201229467,0.332647129347785,0.0814611718205171,0,0,0
85,-9.62069782478252,0.333189413764214,0.0795027845937065,0,0,0
86,-9.61758643448856,0.341406627670935,0.0742479441228051,0,0,0
87,-9.62031243856859,0.338905494212623,0.0807377242058309,0,0,0
88,-9.60906616756265,0.340976929490001,0.0739520471324032,0,0,0
89,-9.61554751005396,0.323090616731556,0.0852687372146222,0,0,0
90,-9.6182684491812,0.336484108548964,0.0760762765924248,0,0,0
91,-9.6092383099788,0.336348983271089,0.0647770882400906,0,0,0
92,-9.61060098924129,0.327805328134336,0.0765164536480335,0,0,0
93,-9.60365737190868,0.332330169944799,0.078911011602098,0,0,0
94,-9.61124195900502,0.320642077519311,0.0715711573187263,0,0,0
95,-9.61564863926154,0.329849166186407,0.071709621795433,0,0,0
96,-9.61543839082296,0.332231389684183,0.0786282727676747,0,0,0
97,-9.61299219895281,0.320966064535625,0.0673453468574769,0,0,0
98,-9.6133182023724,0.325318619667843,0.0694542373312545,0,0,0
99,-9.62204871225845,0.323365962660132,0.0628314900477085,0,0,0
100,-9.62065236424967,0.329656816280022,0.0556117890985943,0,0,0
101,-9.61149694185371,0.336380977709807,0.0692958869568351,0,0,0
102,-9.6130654698358,0.325462255855738,0.0673406035192009,0,0,0
103,-9.61306839536185,0.325457490849252,0.0718579328068538,0,0,0
104,-9.62346921453837,0.331623338916329,0.0892009168080733,0,0,0
105,-9.61032040161935,0.325686565678044,0.0879571515755485,0,0,0
106,-9.61573068637713,0.334331040768422,0.0852568789261784,0,0,0
107,-9.62926051965687,0.33455874474042,0.0784896449343299,0,0,0
108,-9.62342382050743,0.330688298771148,0.085992544282642,0,0,0
109,-9.61770140548566,0.33225623653246,0.0899230570235625,0,0,0
110,-9.61533726107666,0.325472807684557,0.0921873756380473,0,0,0
