Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.49814904958661,-0.340413638903378,-1.27939826571029,0,0,0
1,-9.49583010505339,-0.331401071128478,-1.28829649909692,0,0,0
2,-9.49800486219919,-0.335851114868034,-1.29958239911871,0,0,0
3,-9.50028023114681,-0.322282918099973,-1.29267349503447,0,0,0
4,-9.50450455987274,-0.326651406655415,-1.30606991353099,0,0,0
5,-9.50037021215726,-0.32906629698421,-1.29958805728016,0,0,0
6,-9.49609751075704,-0.326928126069063,-1.30425662258877,0,0,0
7,-9.49637515447077,-0.322471899673022,-1.30440779671981,0,0,0
8,-9.4979838078614,-0.324561890915833,-1.29944784067065,0,0,0
9,-9.50010816343055,-0.319983932712704,-1.29930470272011,0,0,0
10,-9.49531245420318,-0.324501830138812,-1.31044853082629,0,0,0
11,-9.4952479168365,-0.329014897837485,-1.29689329429669,0,0,0
12,-9.49566827969161,-0.329118816088698,-1.27911878203267,0,0,0
13,-9.4955920422157,-0.33361278244784,-1.28363087455952,0,0,0
14,-9.49576118095587,-0.335906927010981,-1.28151648899447,0,0,0
15,-9.49565950406689,-0.32910452262219,-1.2926692976654,0,0,0
16,-9.4959342225024,-0.32464347842804,-1.29733730356593,0,0,0
17,-9.49590545621543,-0.338160551169123,-1.31779529845883,0,0,0
18,-9.50267111665427,-0.32448557098572,-1.34250134846137,0,0,0
19,-9.48662977555638,-0.340493096667464,-1.33797812055404,0,0,0
20,-9.49591481071692,-0.349430542549534,-1.33599727891946,0,0,0
21,-9.50019141100884,-0.338011305843571,-1.34926383541611,0,0,0
22,-9.49764464103887,-0.331227070058913,-1.33768739041987,0,0,0
23,-9.48940084936612,-0.333788328513198,-1.34279354893258,0,0,0
24,-9.49258836805369,-0.32666497157536,-1.34628932677407,0,0,0
25,-9.49818823280408,-0.322295431274445,-1.3560571713351,0,0,0
26,-9.49626323837559,-0.315652820489842,-1.33136956911589,0,0,0
27,-9.49419698286844,-0.304452385106784,-1.32234920101092,0,0,0
28,-9.48723967255564,-0.304541539472651,-1.30188134660097,0,0,0
29,-9.50059258510186,-0.302010042351055,-1.31979588337822,0,0,0
30,-9.49661126717887,-0.306693218096683,-1.33604236543212,0,0,0
31,-9.49122158148611,-0.311114385989746,-1.31738737550705,0,0,0
32,-9.49834168505229,-0.340436955094234,-1.29761207540004,0,0,0
33,-9.49540437373418,-0.344852462834532,-1.29039426733239,0,0,0
34,-9.49586490124152,-0.353967324298285,-1.29985772395149,0,0,0
35,-9.49779906458812,-0.335806335791361,-1.30169439489928,0,0,0
36,-9.49161900904649,-0.324745144033288,-1.31103718763824,0,0,0
37,-9.49570502685627,-0.324560529130271,-1.33558400985311,0,0,0
38,-9.49561212751726,-0.317772330963634,-1.33318625501764,0,0,0
39,-9.49604622890855,-0.329153647299263,-1.32683848426807,0,0,0
40,-9.49546891037712,-0.340339438520046,-1.30394952898252,0,0,0
41,-9.49741291111098,-0.347013202113116,-1.29927768730507,0,0,0
42,-9.48815188691855,-0.349369644108374,-1.29687631948718,0,0,0
43,-9.49086134673428,-0.347182483242025,-1.28361955816435,0,0,0
44,-9.49355473010836,-0.344969159028101,-1.2952054056684,0,0,0
45,-9.49366177223504,-0.338216363374548,-1.29972937155882,0,0,0
46,-9.50049977569368,-0.3336050310444,-1.30198815850072,0,0,0
47,-9.49534374127868,-0.335807839294511,-1.29477417888269,0,0,0
48,-9.50444148547069,-0.3311668349042,-1.2902562472662,0,0,0
49,-9.49565511625453,-0.329097375888936,-1.29944455548177,0,0,0
50,-9.49561846012069,-0.331346741312926,-1.29944218247307,0,0,0
51,-9.4982610608048,-0.344923709570841,-1.30889945726986,0,0,0
52,-9.48847991034825,-0.353941128950521,-1.30845651196011,0,0,0
53,-9.48875315987041,-0.349477583249083,-1.31538295404159,0,0,0
54,-9.48858402833327,-0.347183503700882,-1.31749730807469,0,0,0
55,-9.492880218887,-0.347050976640719,-1.33315686658245,0,0,0
56,-9.48219378590152,-0.336070278111295,-1.3357273668398,0,0,0
57,-9.49111803070194,-0.329128003739664,-1.34009902403698,0,0,0
58,-9.4911488364193,-0.326869109338003,-1.34913507413417,0,0,0
59,-9.49340567836263,-0.326834737457296,-1.34687519403353,0,0,0
60,-9.49357481378626,-0.329128914561326,-1.34476086715735,0,0,0
61,-9.49353815782928,-0.331378269132632,-1.3447584941601,0,0,0
62,-9.48951227878409,-0.327042712166433,-1.34054224229193,0,0,0
63,-9.49548070224091,-0.338049574940952,-1.34234502961729,0,0,0
64,-9.49839451974408,-0.335904937847593,-1.3292347792406,0,0,0
65,-9.49026015910203,-0.344765556219153,-1.32157572687648,0,0,0
66,-9.49521866480843,-0.328967253037613,-1.34206159585137,0,0,0
67,-9.49293102228175,-0.331260540922513,-1.33528543841152,0,0,0
68,-9.48216298036646,-0.338329161669121,-1.32669130836529,0,0,0
69,-9.49552905920771,-0.335819267472307,-1.32428004844901,0,0,0
70,-9.49438865853637,-0.342341241764529,-1.3370911532089,0,0,0
71,-9.49490875235019,-0.335680162882745,-1.33513277528556,0,0,0
72,-9.49531741442897,-0.335764958934807,-1.33542568803138,0,0,0
73,-9.49568649725646,-0.338094343169904,-1.34023307159943,0,0,0
74,-9.49069815491711,-0.342588978167718,-1.33316307344948,0,0,0
75,-9.49716266084555,-0.335641026654181,-1.33738972744293,0,0,0
76,-9.49563025198449,-0.329056877733832,-1.33783768310784,0,0,0
77,-9.49481439255333,-0.328889537641927,-1.33499343848146,0,0,0
78,-9.49740218827808,-0.333431655500755,-1.33979697388549,0,0,0
79,-9.49494394641455,-0.333428382662925,-1.33739356130915,0,0,0
80,-9.51094028174374,-0.333220660247349,-1.33075454862484,0,0,0
81,-9.50995715035065,-0.344326761652815,-1.30305599651361,0,0,0
82,-9.49946833782561,-0.346941251281189,-1.29235455823855,0,0,0
83,-9.50582576893565,-0.346746301065509,-1.29205734315497,0,0,0
84,-9.49783971467047,-0.358382183915095,-1.3042219399555,0,0,0
85,-9.49510673685115,-0.362840239493191,-1.29715054107917,0,0,0
86,-9.49491215804296,-0.34924985304171,-1.30590559732326,0,0,0
87,-9.49486087554137,-0.35147541777113,-1.328487375069,0,0,0
88,-9.49056567897576,-0.338045456346143,-1.33527978014168,0,0,0
89,-9.49788270611546,-0.329015359119871,-1.34235306082357,0,0,0
90,-9.49097385416949,-0.324565381047871,-1.36028306370979,0,0,0
91,-9.49523484487633,-0.326684514548348,-1.37368177997123,0,0,0
92,-9.49763830727126,-0.317652594235356,-1.37143139619493,0,0,0
93,-9.49106570638881,-0.306532596375224,-1.35563873828364,0,0,0
94,-9.49553979758794,-0.308708475433453,-1.35563344360214,0,0,0
95,-9.49502994580485,-0.315385937926888,-1.34178290945847,0,0,0
96,-9.49538284197547,-0.319998291400114,-1.31497010704495,0,0,0
97,-9.49553052181183,-0.335821649716725,-1.32202162917689,0,0,0
98,-9.49479236169894,-0.331162768832341,-1.31240695659351,0,0,0
99,-9.49742558990054,-0.333469771340652,-1.30366233264175,0,0,0
100,-9.50421959230969,-0.331095828664645,-1.31721081366489,0,0,0
101,-9.50629168371529,-0.342306010275859,-1.31719748768195,0,0,0
102,-9.49984864405019,-0.335724802164999,-1.30380492592893,0,0,0
103,-9.50242564208452,-0.328994260246815,-1.29266491517987,0,0,0
104,-9.50012921879912,-0.331273233062675,-1.29943926081605,0,0,0
105,-9.49726230097518,-0.331185110970168,-1.29674303987931,0,0,0
106,-9.49960911337019,-0.337934173803793,-1.30139771067587,0,0,0
107,-9.49485152762188,-0.340205163462417,-1.31028548641353,0,0,0
108,-9.49744517961339,-0.344756679109827,-1.30605531185,0,0,0
109,-9.50158098424369,-0.342344299472109,-1.31027873090097,0,0,0
110,-9.50872595219216,-0.331015173873537,-1.32398313724819,0,0,0
111,-9.50868637050181,-0.333259796522905,-1.32849759437206,0,0,0
112,-9.49454552479016,-0.333360238648408,-1.32129178396962,0,0,0
113,-9.49760944733094,-0.33347882857779,-1.3354266002248,0,0,0
114,-9.48533200171743,-0.344740059290173,-1.33483621463525,0,0,0
115,-9.49306203783769,-0.335801713015151,-1.33542714885812,0,0,0
116,-9.49520598289414,-0.342510705522618,-1.33767698614587,0,0,0
117,-9.4974980157961,-0.340224575165602,-1.33767789833928,0,0,0
118,-9.49931537494797,-0.342364377798421,-1.32608908258792,0,0,0
119,-9.49483690162142,-0.340181341084603,-1.33286961621893,0,0,0
120,-9.4879945498063,-0.344785634545465,-1.33738607856343,0,0,0
121,-9.48848674765033,-0.340388267182419,-1.32187482142172,0,0,0
122,-9.49504708318192,-0.340233246604339,-1.32398241007151,0,0,0
123,-9.49523475342387,-0.328993457677543,-1.3172190299963,0,0,0
124,-9.49996105223163,-0.315416480110302,-1.32400559176917,0,0,0
125,-9.49786311630025,-0.317728430156673,-1.33996004571569,0,0,0
126,-9.49796771921608,-0.324535686227236,-1.32429045266399,0,0,0
127,-9.49952303944147,-0.317592807932006,-1.3124182732777,0,0,0
128,-9.49603980255689,-0.317888267974232,-1.30411968666562,0,0,0
129,-9.4974201488538,-0.308641455481397,-1.30339558278369,0,0,0
130,-9.49086916908598,-0.320067034991254,-1.31948985885032,0,0,0
131,-9.49522597781545,-0.328979164237581,-1.3307695204627,0,0,0
