Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.56838747340276,-0.645618638850137,-0.374200821617894,0,0,0
1,-9.56098312288028,-0.647874732466681,-0.355698967616483,0,0,0
2,-9.56132688160893,-0.638905818606778,-0.367145999135741,0,0,0
3,-9.56201790508389,-0.634536889029081,-0.360812207056657,0,0,0
4,-9.56188531714268,-0.629994645566191,-0.362929803289913,0,0,0
5,-9.55800487786501,-0.616655908692779,-0.360979666043598,0,0,0
6,-9.55343635313124,-0.60769060756246,-0.360846527386985,0,0,0
7,-9.56233544587979,-0.603017894207779,-0.347149463031436,0,0,0
8,-9.55999440250171,-0.596279442812645,-0.333462101346652,0,0,0
9,-9.55370904327484,-0.591970722331319,-0.33602068849949,0,0,0
10,-9.5531365790864,-0.614421699409446,-0.338109830808789,0,0,0
11,-9.56183189620948,-0.62096296092498,-0.356018540278754,0,0,0
12,-9.56411952076714,-0.618669597431221,-0.362794653770128,0,0,0
13,-9.54653015167239,-0.628063008363971,-0.383559171635366,0,0,0
14,-9.55078663001157,-0.630176512952112,-0.40373394455811,0,0,0
15,-9.54669206588892,-0.630343887765097,-0.392736007666398,0,0,0
16,-9.54849168734684,-0.632457943698677,-0.408249841468846,0,0,0
17,-9.5438469387939,-0.627986814467909,-0.412628717784912,0,0,0
18,-9.55098666902897,-0.630210344417441,-0.410654757189795,0,0,0
19,-9.55079314488228,-0.641440821499869,-0.426451738625527,0,0,0
20,-9.5527751503501,-0.645869173287325,-0.419524704262498,0,0,0
21,-9.55045232588121,-0.650414338800257,-0.410487800533812,0,0,0
22,-9.5508934523724,-0.648239532894968,-0.417556598147282,0,0,0
23,-9.55481934179043,-0.65934336120589,-0.405958577362807,0,0,0
24,-9.55751877148785,-0.657136478874355,-0.40850908828006,0,0,0
25,-9.56466880564322,-0.659376365993113,-0.390726224056723,0,0,0
26,-9.56199070207075,-0.648055370691976,-0.379010774836078,0,0,0
27,-9.55521224221182,-0.636891827398964,-0.365331025599499,0,0,0
28,-9.56221415828997,-0.648127230389576,-0.349797030464677,0,0,0
29,-9.56023947177317,-0.643710821356252,-0.345431958483641,0,0,0
30,-9.55793360738093,-0.634720895701086,-0.33400532899651,0,0,0
31,-9.55962761624977,-0.643590466243287,-0.342736938783231,0,0,0
32,-9.54816483839564,-0.63020039344618,-0.337950609527746,0,0,0
33,-9.55923278726409,-0.629968498703771,-0.344572969437406,0,0,0
34,-9.56175858075838,-0.625461887121256,-0.356013794055271,0,0,0
35,-9.55328826104929,-0.616685990904613,-0.363095439623376,0,0,0
36,-9.56262557515315,-0.609834109359635,-0.360983863640114,0,0,0
37,-9.56234928402503,-0.614294298723071,-0.358575160264481,0,0,0
38,-9.56226719371367,-0.618778888135018,-0.372120841637374,0,0,0
39,-9.56033940549045,-0.612129822680742,-0.351949324624724,0,0,0
40,-9.55532456443509,-0.616584371126892,-0.385532449280178,0,0,0
41,-9.55835368890978,-0.618949286702221,-0.397402973221428,0,0,0
42,-9.56029757352239,-0.625624524982963,-0.392731988880612,0,0,0
43,-9.56054451916685,-0.623425643839079,-0.383846300990972,0,0,0
44,-9.5581337478622,-0.632445739710553,-0.397388734894456,0,0,0
45,-9.5533042216284,-0.63921939364427,-0.404014176874539,0,0,0
46,-9.55100342342677,-0.641491273832754,-0.417563717345115,0,0,0
47,-9.55273264259981,-0.648109085764365,-0.428555949540708,0,0,0
48,-9.55263818477189,-0.641319837286081,-0.428417453388051,0,0,0
49,-9.55784429685895,-0.636884554987638,-0.415305672232015,0,0,0
50,-9.55541091697848,-0.634614257704435,-0.430972749599957,0,0,0
51,-9.56436782957076,-0.638980396745721,-0.417411720040095,0,0,0
52,-9.55733861647001,-0.643572428789495,-0.394681705209839,0,0,0
